Agent	Subject	condition1	condition2	GameNb	Points	Entropy	Periodicity	Amplitude	MuIFI	StdIFI	CV	Resets	Deflations	Misses	GameSpeed	Temperature
Model	model_194171356751_23	medium	medium	5	2564	3.155594494	640	0.142440142	685.2561983	180.3140295	0.263133745	5	9	12	MMM	no
Model	model_194171356751_23	medium	medium	6	2556	3.155957479	656	0.158307543	736.8770492	226.0631196	0.306785399	3	12	18	MMM	no
Model	model_194171356751_23	medium	medium	7	2928	3.039544244	624	0.330195466	614.4671053	154.3054011	0.251120686	3	9	20	MMM	no
Model	model_194171356751_23	medium	medium	8	2932	2.907905596	624	0.286073079	644.7518248	143.3218919	0.222290014	0	5	18	MMM	no
Model	model_194171356751_23	medium	medium	9	2776	2.626256439	592	0.279949695	572.7391304	119.1318113	0.208003618	16	2	6	MMM	no
Model	model_194171356751_23	medium	medium	10	3176	2.823862128	592	0.227561343	647.1089744	168.7077041	0.260709882	3	5	7	MMM	no
Model	model_194171356751_23	medium	medium	11	2960	2.761094667	624	0.370383903	615.9171975	132.971668	0.215892118	7	7	11	MMM	no
Model	model_194171356751_23	medium	medium	12	3164	2.956485108	624	0.31460322	604.1574074	147.5663794	0.244251544	1	2	10	MMM	no
Model	model_194171356751_23	medium	medium	13	2760	3.236550534	672	0.272787335	645.9041096	143.061742	0.221490682	14	1	11	MMM	no
Model	model_194171356751_23	medium	medium	14	2300	2.917110401	640	0.384170097	607.2814815	144.3968119	0.237775754	2	17	26	MMM	no
Model	model_194171356751_23	medium	medium	15	3572	2.683382884	640	0.38057506	612.4550562	154.071524	0.251563804	1	2	7	MMM	no
Model	model_194171356751_24	medium	medium	1	1436	3.409471895	720	0.267819766	752.3636364	211.8177917	0.281536456	21	19	42	MMM	no
Model	model_194171356751_24	medium	medium	2	1712	3.126159015	608	0.208572134	580.6532258	200.5153861	0.345327258	49	10	26	MMM	no
Model	model_194171356751_24	medium	medium	3	2276	3.185441642	640	0.287263628	601.0446429	154.0667984	0.256331705	18	16	33	MMM	no
Model	model_194171356751_24	medium	medium	4	2708	2.868122158	672	0.352471255	655.130719	142.0886998	0.216886028	3	15	24	MMM	no
Model	model_194171356751_24	medium	medium	5	2084	3.053006906	672	0.255641152	640.5223881	155.6568996	0.243015549	17	14	31	MMM	no
Model	model_194171356751_24	medium	medium	6	2564	3.129594587	688	0.407695456	679.6161616	167.1119934	0.245891729	29	2	9	MMM	no
Model	model_194171356751_24	medium	medium	7	2932	3.054490789	640	0.315928664	635.2280702	178.6129814	0.281179296	3	7	18	MMM	no
